timestep,ep_rew_mean,ep_len_mean,success_rate,grasp_success_rate,place_success_rate,first_grasp_step_mean,grasp_transitions_mean,max_height_mean,n_episodes
1048576,-196.80359941999998,700.0,0.0,0.88,0.0,61.34,5.31,0.0866180971241241,100
1056768,-196.43153872,700.0,0.0,0.88,0.0,53.99,5.95,0.08225186121635483,100
1064960,-196.41303719000004,700.0,0.0,0.87,0.0,51.35,5.91,0.08139379501971572,100
1073152,-195.6813276,700.0,0.0,0.86,0.0,50.77,5.96,0.08396467504979668,100
1081344,-196.44493967999995,700.0,0.0,0.85,0.0,48.6,5.59,0.08063801165135855,100
1089536,-197.05586109999996,700.0,0.0,0.86,0.0,50.42,5.51,0.08004213996020434,100
1097728,-197.05298471000003,700.0,0.0,0.85,0.0,53.5,5.2,0.07911035798622086,100
1105920,-194.71369801,700.0,0.0,0.86,0.0,53.31,5.48,0.07910313044067407,100
1114112,-195.25208177000002,700.0,0.0,0.86,0.0,55.18,5.6,0.0790231610019266,100
1122304,-193.90909104999994,700.0,0.0,0.87,0.0,55.41,5.42,0.07892046517612104,100
1130496,-194.51341448000005,700.0,0.0,0.87,0.0,54.17,5.03,0.07934739125491143,100
1138688,-192.74993636,700.0,0.0,0.88,0.0,56.13,5.05,0.08013574593953676,100
1146880,-194.35739815999997,700.0,0.0,0.9,0.0,55.23,5.22,0.07801351689167846,100
1155072,-193.80348446,700.0,0.0,0.9,0.0,54.21,5.52,0.07799305759610024,100
1163264,-196.04360318,700.0,0.0,0.87,0.0,55.75,5.16,0.07831040878348453,100
1171456,-196.03825264999995,700.0,0.0,0.86,0.0,51.97,5.03,0.07912963040787498,100
1179648,-196.14002192,700.0,0.0,0.86,0.0,52.51,4.87,0.07914048903482246,100
1187840,-196.09965841000005,700.0,0.0,0.88,0.0,54.97,4.97,0.0784751737051716,100
1196032,-194.54113657000005,700.0,0.0,0.9,0.0,58.47,5.3,0.078659398686475,100
1204224,-197.23272514,700.0,0.0,0.88,0.0,60.17,5.44,0.07698401487393262,100
1212416,-196.93419741000005,700.0,0.0,0.88,0.0,63.7,5.69,0.07714660579142443,100
1220608,-194.06317868000002,700.0,0.0,0.88,0.0,64.66,5.82,0.07698471606452463,100
1228800,-191.84647951,700.0,0.0,0.89,0.0,69.92,5.65,0.07621193007460599,100
1236992,-190.58724929,700.0,0.0,0.9,0.0,68.95,5.87,0.07733466856440159,100
1245184,-190.03836761000002,700.0,0.0,0.91,0.0,70.74,6.7,0.0768149199935464,100
1253376,-190.08145440999994,700.0,0.0,0.91,0.0,66.18,6.88,0.07689352759675233,100
1261568,-190.11407528999996,700.0,0.0,0.92,0.0,64.53,7.11,0.07744268400946294,100
1269760,-189.04756920000003,700.0,0.0,0.92,0.0,64.88,7.25,0.07782739806460683,100
1277952,-186.32860439999996,700.0,0.0,0.94,0.0,63.72,7.76,0.07922599341046017,100
1286144,-185.93549527000008,700.0,0.0,0.94,0.0,69.86,8.06,0.08065175478571464,100
1294336,-186.06433159999997,700.0,0.0,0.94,0.0,60.86,8.55,0.08122282792072412,100
1302528,-187.24192944000004,700.0,0.0,0.95,0.0,59.23,8.77,0.08108814930064501,100
1310720,-184.09669483000002,700.0,0.0,0.96,0.0,59.16,8.92,0.08166561296886461,100
1318912,-179.82381705999995,700.0,0.0,0.94,0.0,58.69,8.94,0.08174442863115386,100
1327104,-179.69468038,700.0,0.0,0.94,0.0,56.26,9.45,0.08162421135647621,100
1335296,-178.77593025,700.0,0.0,0.95,0.0,56.43,9.23,0.08321524301072794,100
1343488,-180.15198795999996,700.0,0.0,0.96,0.0,56.88,9.69,0.08265300447964513,100
1351680,-182.22794963,700.0,0.0,0.96,0.0,55.05,9.36,0.0818672383316733,100
1359872,-179.41829133,700.0,0.0,0.96,0.0,50.09,9.87,0.08015707998366833,100
1368064,-177.30199590999996,700.0,0.0,0.96,0.0,51.06,9.92,0.079531684670952,100
1376256,-177.90067498999997,700.0,0.0,0.97,0.0,51.86,9.8,0.08011334536225742,100
1384448,-183.62417506000006,700.0,0.0,0.97,0.0,53.67,8.99,0.08038455436122639,100
1392640,-180.56953402,700.0,0.0,0.99,0.0,53.31,9.58,0.08050043464704426,100
1400832,-180.54965126000002,700.0,0.0,0.98,0.0,54.57,9.56,0.080321141654438,100
1409024,-179.6411579,700.0,0.0,0.97,0.0,55.98,9.24,0.07972055814538571,100
1417216,-175.08058993000003,700.0,0.0,0.97,0.0,53.28,9.82,0.07987922485322756,100
1425408,-173.33011721,700.0,0.0,0.96,0.0,54.93,10.05,0.08050345327250447,100
1433600,-175.07403496999999,700.0,0.0,0.97,0.0,48.35,9.76,0.08091905828980062,100
1441792,-171.19590994,700.0,0.0,0.97,0.0,49.96,10.58,0.08322350259990366,100
1449984,-166.862329,700.0,0.0,0.97,0.0,53.27,11.37,0.08247006695267661,100
1458176,-168.54098894999998,700.0,0.0,0.97,0.0,50.45,11.66,0.08311181852653272,100
1466368,-174.61316405000002,700.0,0.0,0.97,0.0,50.95,11.09,0.08236403454977212,100
